,code,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4549,83341,Lengkong Tiga,Blk 102,1.32539968158209,103.91109803643086,94.87037037037037,36.111111111111114,118.70370370370371,41.25925925925926,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4550,83351,Lengkong Empat,Grosvenor View,1.32765583299859,103.91213111102074,99.27777777777777,35.44444444444444,111.53703703703704,37.092592592592595,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4551,83361,Lengkong Empat,Hua Yu Mansions,1.32850781433023,103.914495706562,380.48148148148147,142.61111111111111,462.8888888888889,158.57407407407408,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4552,83371,Jln Selamat,Aft Jln Paras,1.32624566683557,103.91537946119738,79.88888888888889,29.62962962962963,66.11111111111111,22.925925925925927,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4553,83381,Taman Kembangan,Bef Jln Kembangan,1.32466780744529,103.91452207182714,15.425925925925926,7.14,15.574074074074074,6.56,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4554,84009,Bedok Nth Dr,Bedok Int,1.32453874317344,103.92903818515839,22924.28787878788,8747.0,22878.0,8672.261538461538,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4555,84011,New Upp Changi Rd,Chai Chee Ind Pk,1.32257749632692,103.92233358172962,1566.936507936508,592.375,2056.1111111111113,690.25,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4556,84019,New Upp Changi Rd,Opp Chai Chee Ind Pk,1.32221972730517,103.92262015530929,952.8833333333333,340.55737704918033,340.05,167.29508196721312,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4557,84021,New Upp Changi Rd,Blk 32,1.32338320435233,103.92508721683168,2323.5079365079364,819.65625,2064.8571428571427,699.328125,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
4558,84029,New Upp Changi Rd,Opp Blk 32,1.32295305994698,103.92517704260585,1690.390625,615.4590163934427,1667.828125,583.2459016393443,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4559,84031,New Upp Changi Rd,Bedok Stn Exit B,1.32428292329305,103.93003627080394,8795.539682539682,3148.6875,6843.428571428572,2488.046875,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4560,84039,New Upp Changi Rd,Bedok Stn Exit A,1.32353645344906,103.92886300203479,3390.6984126984125,1229.4375,6188.936507936508,2142.359375,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4561,84041,New Upp Changi Rd,Blk 221A,1.3246905167586,103.93468799273933,1522.1587301587301,530.546875,1555.095238095238,560.890625,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4562,84049,New Upp Changi Rd,Blk 27,1.32432719820227,103.93471220144858,2728.126984126984,970.453125,2444.3968253968255,876.171875,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4563,84051,New Upp Changi Rd,Bedok Sports Cplx,1.32520077474542,103.93890484697742,814.063492063492,231.5,1742.4285714285713,662.96875,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4564,84059,New Upp Changi Rd,Blk 65,1.32493504095045,103.93953481204565,2285.7936507936506,881.796875,1308.5396825396826,415.34375,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4565,84061,New Upp Changi Rd,The Tanamera Condo,1.32584790501258,103.94223128727671,1686.9833333333333,585.5737704918033,1764.6833333333334,569.639344262295,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
4566,84069,New Upp Changi Rd,Blk 55,1.32548742810424,103.94219019887281,1719.4603174603174,575.625,1978.6507936507937,707.328125,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4567,84071,Bedok Sth Rd,Blk 71,1.32067138376849,103.9426000755741,411.34375,174.04761904761904,423.671875,147.06349206349208,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4568,84079,Bedok Sth Rd,Siglap Cc/Opp Blk 71,1.32099303797206,103.94325305782594,345.655737704918,125.45,250.0327868852459,99.1,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4569,84081,Bedok Sth Rd,Opp Blk 40,1.3204380811482,103.94022038903293,340.125,136.36507936507937,272.875,95.33333333333333,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4570,84089,Bedok Sth Rd,Blk 40,1.3206814195738,103.9400309260245,470.6393442622951,158.73333333333332,576.9016393442623,222.06666666666666,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4571,84101,Bedok Sth Ave 3,Opp Blk 49,1.32298200464523,103.94421518494586,548.03125,142.20967741935485,931.234375,282.8225806451613,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4572,84109,Bedok Sth Ave 3,Blk 50,1.32350836424044,103.9441209521673,972.890625,250.91935483870967,595.703125,145.8709677419355,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4573,84111,Bedok Sth Rd,Temasek JC,1.31958802627855,103.93574197184712,1170.375,347.1746031746032,900.21875,272.44444444444446,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4574,84119,Bedok Sth Rd,Opp Temasek JC,1.31968902766581,103.93506805500876,1413.983606557377,430.73333333333335,1478.8688524590164,527.4333333333333,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
4575,84121,Bedok Sth Rd,Aft Bedok Sth Ave 1,1.31848306586196,103.93156320282378,412.6984126984127,78.44444444444444,158.17460317460316,43.12698412698413,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4576,84129,Bedok Sth Rd,Fujitec S'pore Ltd,1.31875790465263,103.93158674239623,114.8,28.9,551.8833333333333,74.31666666666666,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
4577,84131,Bedok Sth Rd,Opp Panasonic,1.3214133317439,103.92757312069912,194.57142857142858,66.44444444444444,289.85714285714283,93.58730158730158,FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
