,name,stop_id,line,no,lng,lat,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
198,FARRER ROAD MRT STATION,CC20,CE,54,103.8075861,1.317510612,8,FARRER COURT,BTSZ08,BUKIT TIMAH,BT,CENTRAL REGION,CR
199,BUONA VISTA MRT STATION,CC22,CE,26,103.7906534,1.306491669,8,ONE NORTH,QTSZ08,QUEENSTOWN,QT,CENTRAL REGION,CR
200,NICOLL HIGHWAY MRT STATION,CC5,CE,96,103.863637,1.299766835,13,NICOLL,DTSZ13,DOWNTOWN CORE,DT,CENTRAL REGION,CR
201,CALDECOTT MRT STATION,CC17,CE,27,103.8395298,1.337674508,1,TOA PAYOH WEST,TPSZ01,TOA PAYOH,TP,CENTRAL REGION,CR
202,LABRADOR PARK MRT STATION,CC27,CE,80,103.8029396,1.272332732,1,MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
203,SERANGOON MRT STATION,CC13,CE,129,103.8723681,1.350595256,6,SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
204,PAYA LEBAR MRT STATION,CC9,CE,104,103.8921788,1.317430268,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
205,BARTLEY MRT STATION,CC12,CE,5,103.8797589,1.342828338,10,BIDADARI,TPSZ10,TOA PAYOH,TP,CENTRAL REGION,CR
206,DAKOTA MRT STATION,CC8,CE,43,103.8886626,1.308382639,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
207,PASIR PANJANG MRT STATION,CC26,CE,102,103.7913503,1.276213523,15,PORT,QTSZ15,QUEENSTOWN,QT,CENTRAL REGION,CR
208,MARYMOUNT MRT STATION,CC16,CE,90,103.8394231,1.348707263,1,UPPER THOMSON,BSSZ01,BISHAN,BS,CENTRAL REGION,CR
209,HAW PAR VILLA MRT STATION,CC25,CE,60,103.7818105,1.282542157,13,PASIR PANJANG 1,QTSZ13,QUEENSTOWN,QT,CENTRAL REGION,CR
210,LORONG CHUAN MRT STATION,CC14,CE,85,103.8641519,1.351612171,5,LORONG CHUAN,SGSZ05,SERANGOON,SG,NORTH-EAST REGION,NER
211,TAI SENG MRT STATION,CC11,CE,138,103.8881949,1.335433322,12,JOO SENG,TPSZ12,TOA PAYOH,TP,CENTRAL REGION,CR
212,PROMENADE MRT STATION,CC4,CE,110,103.8609992,1.293218051,3,MARINA CENTRE,DTSZ03,DOWNTOWN CORE,DT,CENTRAL REGION,CR
213,BOTANIC GARDENS MRT STATION,CC19,CE,16,103.8149828,1.322110193,4,TYERSALL,TNSZ04,TANGLIN,TN,CENTRAL REGION,CR
214,HOLLAND VILLAGE MRT STATION,CC21,CE,62,103.7961918,1.31183479,7,LEEDON PARK,BTSZ07,BUKIT TIMAH,BT,CENTRAL REGION,CR
215,TELOK BLANGAH MRT STATION,CC28,CE,148,103.8097486,1.270753211,1,MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
216,HARBOURFRONT MRT STATION,NE1 / CC29,CE,59,103.8214431,1.26547264,1,MARITIME SQUARE,BMSZ01,BUKIT MERAH,BM,CENTRAL REGION,CR
217,EUNOS MRT STATION,EW7,CG,49,103.9032525,1.319778952,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
218,CHINESE GARDEN MRT STATION,EW25,CG,33,103.7325967,1.342352821,4,LAKESIDE (LEISURE),JESZ04,JURONG EAST,JE,WEST REGION,WR
219,REDHILL MRT STATION,EW18,CG,117,103.8168167,1.289562726,3,REDHILL,BMSZ03,BUKIT MERAH,BM,CENTRAL REGION,CR
220,PIONEER MRT STATION,EW28,CG,108,103.6973215,1.337586882,9,JURONG WEST CENTRAL,JWSZ09,JURONG WEST,JW,WEST REGION,WR
221,COMMONWEALTH MRT STATION,EW20,CG,39,103.7983045,1.302438735,3,COMMONWEALTH,QTSZ03,QUEENSTOWN,QT,CENTRAL REGION,CR
222,PAYA LEBAR MRT STATION,EW8,CG,104,103.8930604,1.318112082,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
223,CLEMENTI MRT STATION,EW23,CG,38,103.7652989,1.314954492,4,CLEMENTI NORTH,CLSZ04,CLEMENTI,CL,WEST REGION,WR
224,ALJUNIED MRT STATION,EW9,CG,1,103.882906,1.316432612,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
225,QUEENSTOWN MRT STATION,EW19,CG,114,103.8058843,1.294860933,6,MEI CHIN,QTSZ06,QUEENSTOWN,QT,CENTRAL REGION,CR
226,TUAS LINK MRT STATION,EW33,CG,155,103.6368787,1.340463766,2,TUAS PROMENADE,TSSZ02,TUAS,TS,WEST REGION,WR
227,GUL CIRCLE MRT STATION,EW30,CG,58,103.660553,1.319505215,2,GUL CIRCLE,PNSZ02,PIONEER,PN,WEST REGION,WR
228,TUAS CRESCENT MRT STATION,EW31,CG,154,103.6490755,1.321026553,3,TUAS NORTH,TSSZ03,TUAS,TS,WEST REGION,WR
229,KALLANG MRT STATION,EW10,CG,70,103.8713865,1.31148891,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
230,TUAS WEST ROAD MRT STATION,EW32,CG,156,103.6396141,1.329989089,4,TUAS BAY,TSSZ04,TUAS,TS,WEST REGION,WR
231,BUONA VISTA MRT STATION,EW21,CG,26,103.7901915,1.307183467,8,ONE NORTH,QTSZ08,QUEENSTOWN,QT,CENTRAL REGION,CR
232,DOVER MRT STATION,EW22,CG,46,103.7786378,1.311405293,9,SINGAPORE POLYTECHNIC,QTSZ09,QUEENSTOWN,QT,CENTRAL REGION,CR
233,KEMBANGAN MRT STATION,EW6,CG,73,103.9129494,1.321038249,3,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
234,BOON LAY MRT STATION,EW27,CG,15,103.7060646,1.338604055,9,JURONG WEST CENTRAL,JWSZ09,JURONG WEST,JW,WEST REGION,WR
235,BEDOK MRT STATION,EW5,CG,8,103.9299845,1.323979969,4,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
236,JOO KOON MRT STATION,EW29,CG,66,103.6783751,1.327717173,1,JOO KOON,PNSZ01,PIONEER,PN,WEST REGION,WR
237,LAKESIDE MRT STATION,EW26,CG,81,103.7209493,1.344259249,4,TAMAN JURONG,JWSZ04,JURONG WEST,JW,WEST REGION,WR
238,TANAH MERAH MRT STATION,EW4,CG,143,103.9463465,1.327187135,6,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
239,TANJONG PAGAR MRT STATION,EW15,CG,144,103.8458642,1.276521247,9,TANJONG PAGAR,DTSZ09,DOWNTOWN CORE,DT,CENTRAL REGION,CR
240,BUGIS MRT STATION,EW12,CG,20,103.8557064,1.300465076,10,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
241,TIONG BAHRU MRT STATION,EW17,CG,151,103.8270194,1.286193393,4,TIONG BAHRU STATION,BMSZ04,BUKIT MERAH,BM,CENTRAL REGION,CR
242,LAVENDER MRT STATION,EW11,CG,82,103.8628292,1.30735702,6,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
243,OUTRAM PARK MRT STATION,EW16,CG,101,103.8391265,1.281404978,2,PEOPLE'S PARK,OTSZ02,OUTRAM,OT,CENTRAL REGION,CR
244,JURONG EAST MRT STATION,EW24 / NS1,CG,67,103.7422865,1.33315262,6,JURONG GATEWAY,JESZ06,JURONG EAST,JE,WEST REGION,WR
