,stop_id,road,desc,lat,lng,in_WD,in_H,out_WD,out_H,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
4406,80179,Stadium Cres,Opp CP F,1.300594053,103.8771287,1.959183673,1.108695652,4.979591837,3.217391304,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4407,80181,Stadium Blvd,Kallang Squash Ctr,1.305084395,103.8796984,3.057692308,2.32,7.326923077,8.08,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4408,80189,Stadium Blvd,Opp Kallang Squash Ctr,1.305037412,103.881077,7.773584906,7.592592593,5.830188679,3.574074074,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4409,80191,Stadium Walk,Opp S'pore Indoor Stadium,1.301608872,103.8754059,36.96296296,23.68518519,11.33333333,10.66666667,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4410,80199,Stadium Cres,Stadium Stn,1.301558385,103.8751353,566.7037037,268.9259259,530.4444444,293.6481481,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4411,80211,Nicoll Highway,Opp Natl Stadium,1.307128036,103.8754811,86.29824561,42.75438596,145.0175439,66.50877193,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
4412,80219,Nicoll Highway,Natl Stadium,1.306743814,103.8752641,57.1,35.05084746,81.76666667,45.3220339,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4413,80229,Sims Dr,Blk 45,1.317289721,103.8781055,216.6349206,55.17460317,1155.095238,386.8888889,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4414,80231,Sims Dr,Opp Blk 53,1.318565032,103.8801086,250.0178571,89.03571429,6.285714286,2.142857143,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4415,80239,Sims Dr,Bef Blk 53,1.318463509,103.880511,14.56666667,3.7,395.5833333,132.9333333,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4416,80249,Sims Pl,Blk 49 Mkt/FC,1.316936431,103.8798599,985.7017544,394.9824561,0.824561404,0.385964912,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4417,80251,Guillemard Rd,Aft Lor 14 Geylang,1.310094874,103.879925,561.1147541,248.2666667,499.5245902,225.4666667,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4418,80259,Guillemard Rd,Aft Chen Li Presby Ch,1.309895,103.8798883,250,99.5,302.55,96,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4419,80269,Lor 17 Geylang,Bef Sims Ave,1.31501453,103.878361,49.40350877,11,41.42105263,11.67857143,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4420,80271,Mountbatten Rd,Opp Mountbatten Stn,1.305113985,103.8831203,70.45,38.36666667,586.1,148.3333333,TANJONG RHU,KLSZ05,KALLANG,KL,CENTRAL REGION,CR
4421,80279,Mountbatten Rd,Mountbatten Stn Exit B,1.305149034,103.88342,1009.590164,314.0666667,209.704918,93.53333333,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4422,80289,Sims Pl,Sims Pl Ter,1.316075,103.8793281,317.8095238,123.1428571,176.6190476,67.6031746,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4423,80291,Geylang Bahru,Blk 82,1.319559688,103.8722933,77.80701754,20.33928571,59.64912281,18.75,GEYLANG BAHRU,KLSZ02,KALLANG,KL,CENTRAL REGION,CR
4424,80299,Geylang Bahru,Opp Blk 82,1.319548352,103.8719722,35.68518519,8.092592593,104.0740741,29.18518519,GEYLANG BAHRU,KLSZ02,KALLANG,KL,CENTRAL REGION,CR
4425,80301,Upp Boon Keng Rd,Bef Blk 19,1.31643329,103.8734862,40.83928571,12.50877193,117.5714286,37.36842105,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4426,80309,Upp Boon Keng Rd,Aft Geylang West CC,1.317231347,103.8729891,61.40740741,24.2962963,46.68518519,15.94444444,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4427,80311,Upp Boon Keng Rd,Blk 3B,1.314433333,103.8726003,6.140350877,3.350877193,303.8245614,144.7894737,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4428,80319,Upp Boon Keng Rd,Geylang West CC,1.31484297,103.8726223,527.3888889,239.8703704,166.1851852,54.96296296,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
4429,81011,Sims Ave,Aft Aljunied Stn,1.315323187,103.8833517,1037.174603,491.3015873,1026.634921,453.8095238,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4430,81029,Geylang Rd,Aft Lor 28 Geylang,1.313616389,103.8849306,1085.65,519.6833333,1043.1,512.5,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4431,81031,Sims Ave,Blk 134,1.31580283,103.8860485,881.6825397,396,977.0793651,451,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4432,81049,Geylang Rd,Aft Lor 34 Geylang,1.314075556,103.8873525,977.7666667,454.2,833.8333333,364.8333333,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4433,81051,Sims Ave,Sims Ville,1.316623431,103.8903344,523.2380952,172.4126984,612.7619048,278.9206349,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4434,81069,Geylang Rd,Opp Lor 39 Geylang,1.314729,103.89069,742.4166667,344.4833333,530.2833333,210.75,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4435,81081,Aljunied Rd,Opp Aljunied Stn,1.316216659,103.8816816,2709.968254,758.5873016,1026.761905,344.3968254,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4436,81089,Aljunied Rd,Aljunied Stn,1.316281943,103.8820224,1761.316667,718.4,3912.683333,1164.016667,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4437,81091,Aljunied Rd,Sims Urban Oasis,1.319353333,103.8817311,719.8666667,190.4833333,588.5833333,161.65,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4438,81099,Aljunied Rd,Blk 102,1.319822767,103.8819467,869.6333333,286.2166667,580.65,166.0166667,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4439,81101,Paya Lebar Rd,CISCO Ctr,1.321115224,103.8915222,467.7777778,159.3870968,705.4126984,218.3064516,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4440,81109,Paya Lebar Rd,Opp CISCO Ctr,1.320913717,103.8911718,658.7301587,184.765625,301.5079365,96.171875,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4441,81111,Paya Lebar Rd,Paya Lebar Stn Exit B,1.318602386,103.8921169,5556.666667,2084.873016,4338.190476,1584.777778,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4442,81119,Paya Lebar Rd,Paya Lebar Stn Exit C,1.318567246,103.891695,2631.032258,977.2622951,855,331.9180328,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4443,81129,Paya Lebar Rd,Paya Lebar Stn Exit D,1.316311474,103.8921727,1037.809524,428.5901639,4801.380952,1871.42623,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4444,81131,Guillemard Rd,Opp Grandlink Sq,1.314315054,103.8922161,122.6,48.78333333,146.4,65.58333333,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
4445,81139,Guillemard Rd,Grandlink Sq,1.314353286,103.8919176,149.557377,72.3,395.9672131,231.4833333,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
4446,81141,Guillemard Rd,Versailles Condo,1.312008056,103.8903575,217.2333333,70.78333333,366.3666667,118.8,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
